"ID","treeID","creatorID","specID","height","DBH","plot","level"
1093,"r00138","FMLRS","EIT",23,1.35,"fs-052",5
1094,"r00853","FMLRS","HBU",11,0.62,"fs-052",3
1095,"r00182","FMLRS","HBU",21.575,0.62,"fs-052",5
1096,"r00904","FMLRS","EIT",22,1.02,"fs-052",5
1097,"r00183","FMLRS","BUR",40.95,2.01,"fs-052",9
1098,"r00184","FMLRS","BUR",19.575,0.69,"fs-052",4
1099,"r00185","FMLRS","BUR",15.2,0.35,"fs-052",4
1100,"r00186","FMLRS","BUR",27.075,0.72,"fs-052",6
1101,"r00193","FMLRS","ERS",9.1,0.34,"fs-053",2
1102,"r00551","FMLRS","ERS",9.1,0.3,"fs-053",2
1103,"r00554","FMLRS","ERS",9.1,0.26,"fs-053",2
1104,"r00187","FMLRS","ERS",9.1,0.28,"fs-053",2
1105,"r00189","FMLRS","ERS",9.1,0.35,"fs-053",2
1106,"r00191","FMLRS","ERS",9.1,0.27,"fs-053",2
1107,"r00192","FMLRS","ERS",9.1,0.33,"fs-053",2
1108,"r00195","FMLRS","ERS",9.1,0.32,"fs-053",2
1109,"r00196","FMLRS","ERS",9.1,0.28,"fs-053",2
1110,"r00190","FMLRS","ERS",9.1,0.32,"fs-053",2
1111,"r00198","FMLRS","ERS",9.1,0.37,"fs-053",2
1112,"r00199","FMLRS","ERS",9.1,0.34,"fs-053",2
1113,"r00553","FMLRS","ERS",9.1,0.25,"fs-053",2
1114,"r00194","FMLRS","ERS",9.1,0.27,"fs-053",2
1115,"r00552","FMLRS","ERS",9.1,0.23,"fs-053",2
1116,"r00548","FMLRS","ERS",9.1,0.27,"fs-053",2
1117,"r00547","FMLRS","ERS",9.1,0.25,"fs-053",2
1118,"r00692","FMLRS","ERS",9.1,0.24,"fs-053",2
1119,"r00550","FMLRS","ERS",9.1,0.29,"fs-053",2
1120,"r00188","FMLRS","ERS",9.1,0.24,"fs-053",2
1121,"r00800","FMLRS","ERS",9.1,0.25,"fs-053",2
1122,"r00933","FMLRS","ERS",9.1,0.3,"fs-053",2
1123,"r00934","FMLRS","ERS",9.1,0.26,"fs-053",2
1124,"r00935","FMLRS","ERS",9.1,0.24,"fs-053",2
1125,"r00936","FMLRS","ERS",9.1,0.24,"fs-053",2
1126,"r00937","FMLRS","ERS",9.1,0.31,"fs-053",2
1127,"r00938","FMLRS","ERS",9.1,0.27,"fs-053",2
1128,"r00939","FMLRS","ERS",9.1,0.26,"fs-053",2
1129,"r00940","FMLRS","ERS",9.1,0.24,"fs-053",2
1130,"r00941","FMLRS","ERS",9.1,0.25,"fs-053",2
1131,"r00549","FMLRS","ERS",9.1,0.22,"fs-053",2
1132,"r00693","FMLRS","ERS",9.1,0.28,"fs-053",2
1133,"r00942","FMLRS","ERS",9.1,0.27,"fs-053",2
1134,"r00943","FMLRS","ERS",9.1,0.27,"fs-053",2
1135,"r00944","FMLRS","ERS",9.1,0.25,"fs-053",2
1136,"r00945","FMLRS","ERS",9.1,0.26,"fs-053",2
1137,"r00197","FMLRS","ERS",9.1,0.25,"fs-053",2
1138,"b00947","FMLRS","BUR",40.21875,1.93,"fs-054",9
1139,"b00946","FMLRS","BUR",27.69375,2.04,"fs-054",6
1140,"r00788","FMLRS","BUR",26.85875,1.64,"fs-054",6
1141,"r00115","FMLRS","BUR",7,0.3,"fs-055",2
1142,"r00116","FMLRS","BUR",15.4,0.62,"fs-055",4
1143,"r00117","FMLRS","BUR",20.65,0.92,"fs-055",5
1144,"r00118","FMLRS","BUR",27.7,1.38,"fs-055",6
1145,"b00948","FMLRS","LAE",26.27,0.87,"fs-056",6
1146,"b00752","FMLRS","LAE",16.325,0.47,"fs-056",4
1147,"b00753","FMLRS","LAE",31.625,0.8,"fs-056",7
1148,"b00754","FMLRS","LAE",22.4,0.55,"fs-056",5
1149,"b00755","FMLRS","BUR",27.47,0.7,"fs-056",6
1150,"b00749","FMLRS","BUR",15.26,0.25,"fs-056",4
1151,"b00750","FMLRS","BUR",16.595,0.32,"fs-056",4
1152,"b00748","FMLRS","BUR",20.69,0.4,"fs-056",5
1153,"b00756","FMLRS","LAE",30.95,0.93,"fs-056",7
1154,"b00751","FMLRS","LAE",27.275,0.93,"fs-056",6
1155,"b00757","FMLRS","BUR",17.795,0.6,"fs-056",4
1156,"b00758","FMLRS","LAE",25.115,1.44,"fs-056",6
1157,"b00759","FMLRS","LAE",31.415,1,"fs-056",7
1158,"r00370","FMLRS","DGL",15.935,0.69,"fs-056",4
